time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2003-03-30T11:10:55.980Z,37.573,123.821,10,4.7,mb,49,72.6,,1.48,us,usp000btwh,2014-11-07T01:18:10.399Z,"130 km ENE of Yatou, China",earthquake,,,,24,reviewed,us,us
2003-04-01T16:38:34.350Z,34.927,132.815,33,3.8,mb,14,110,,1.21,us,usp000bu3q,2014-11-07T01:18:13.781Z,"14 km NNW of Miyoshi, Japan",earthquake,,,,1,reviewed,us,us
2003-05-30T18:58:22.640Z,33.364,131.764,76,4.4,mb,43,113.5,,1.03,us,usp000byk2,2014-11-07T01:18:44.793Z,"14 km NNE of Tsurusaki, Japan",earthquake,,6.2,,17,reviewed,us,us
2003-08-13T09:19:46.320Z,33.666,131.631,159.8,4.4,mb,13,127.7,,0.63,us,usp000c4rj,2014-11-07T01:19:30.509Z,"21 km NE of Bungo-Takada-shi, Japan",earthquake,,20.5,,1,reviewed,us,us
2003-08-31T23:08:00.260Z,43.393,132.267,481.1,6.2,mwb,776,25.5,,0.69,us,usp000c6dn,2022-05-02T16:42:14.811Z,"6 km E of Knevichi, Russia",earthquake,,,,,reviewed,us,us
2004-04-20T13:26:33.170Z,33.534,132.204,49.8,4.4,mb,31,120.5,,1.49,us,usp000cszm,2014-11-07T01:22:03.589Z,"32 km W of ?zu, Japan",earthquake,,,,5,reviewed,us,us
2004-05-29T10:14:28.440Z,36.634,129.928,29.2,5.3,mwb,279,73.6,,0.79,us,usp000cwh7,2020-09-18T19:56:50.506Z,"78 km NE of Heunghae, South Korea",earthquake,,7.2,,,reviewed,us,us
2004-07-17T10:41:25.750Z,33.822,131.969,73.8,3.6,mb,11,117,,0.78,us,usp000d0ay,2014-11-07T01:22:55.096Z,"14 km S of Hikari, Japan",earthquake,,8.4,,1,reviewed,us,us
2004-08-15T15:36:56.840Z,43.391,131.015,538.5,4.6,mb,198,76,,0.76,us,usp000d277,2014-11-07T01:23:12.990Z,"44 km WNW of Barabash, Russia",earthquake,,,,74,reviewed,us,us
2004-09-21T01:13:17.150Z,34.18,132.792,41.7,4.2,mwr,15,117.8,,1.46,us,usp000d4rj,2014-11-07T01:23:31.873Z,"20 km SSW of Takehara, Japan",earthquake,,,,,reviewed,us,nied
2004-12-16T18:59:14.600Z,41.804,127.979,10,4,mb,19,139.9,,1.27,us,usp000dauv,2014-11-07T01:24:18.257Z,"47 km NNW of Hyesan, North Korea",earthquake,,,,8,reviewed,us,us
2005-03-07T18:45:46.410Z,34.264,132.43,20,4,mb,8,134.3,,0.85,us,usp000dhrt,2014-11-07T01:25:12.283Z,"10 km ESE of Miyajima, Japan",earthquake,,,,1,reviewed,us,us
2005-03-20T01:53:41.830Z,33.807,130.131,10,6.6,mwc,401,22.9,,1.3,us,usp000djku,2022-05-02T17:50:45.712Z,"28 km NNW of Maebaru-ch??, Japan",earthquake,,,,,reviewed,us,hrv
2005-03-20T05:32:24.660Z,33.735,130.031,10,4.1,mb,12,134.7,,0.87,us,usp000djm4,2014-11-07T01:25:16.793Z,"25 km NW of Maebaru-ch??, Japan",earthquake,,,,3,reviewed,us,us
2005-03-20T10:52:03.460Z,33.758,129.961,10,4.1,mb,18,134.8,,1.03,us,usp000djmm,2014-11-07T01:25:16.831Z,"31 km NW of Maebaru-ch??, Japan",earthquake,,,,4,reviewed,us,us
2005-03-20T11:08:23.420Z,33.614,129.897,10,0,,7,141,,1.09,us,usp000djmn,2014-11-07T01:25:16.834Z,"20 km NNW of Karatsu, Japan",earthquake,,0,,,reviewed,us,us
2005-03-20T11:38:17.530Z,33.843,130.066,10,3.9,mb,15,117.4,,1.42,us,usp000djmq,2014-11-07T01:25:16.839Z,"33 km NNW of Maebaru-ch??, Japan",earthquake,,,,2,reviewed,us,us
2005-03-21T14:59:23.320Z,33.862,130.021,10,4.3,mb,30,95.5,,0.81,us,usp000djqq,2014-11-07T01:25:17.477Z,"37 km NNW of Maebaru-ch??, Japan",earthquake,,,,10,reviewed,us,us
2005-03-22T06:55:35.140Z,33.718,130.208,10,4.9,mwr,64,97.2,,1.12,us,usp000djss,2014-11-07T01:25:17.695Z,"17 km N of Maebaru-ch??, Japan",earthquake,,,,,reviewed,us,nied
2005-03-25T12:03:29.840Z,33.826,130.364,94.7,3.7,mb,9,128.3,,1.14,us,usp000dk12,2014-11-07T01:25:19.291Z,"12 km WNW of Nishifukuma, Japan",earthquake,,23.7,,2,reviewed,us,us
2005-04-01T12:52:14.310Z,33.447,130.367,10,4.4,mb,7,113.2,,1.54,us,usp000dkwy,2014-11-07T01:25:26.424Z,"14 km SW of ?noj?, Japan",earthquake,,,,1,reviewed,us,us
2005-04-10T11:34:41.360Z,33.655,130.226,23.9,4.7,mb,36,111.2,,1.32,us,usp000dmuh,2014-11-07T01:25:32.198Z,"10 km NNE of Maebaru-ch??, Japan",earthquake,,20,,18,reviewed,us,us
2005-04-17T13:56:13.350Z,33.378,132.261,34.5,0,,9,135.6,,0.37,us,usp000dnkh,2014-11-07T01:25:37.194Z,"30 km WSW of ?zu, Japan",earthquake,,59,,,reviewed,us,us
2005-04-19T21:11:28.420Z,33.637,130.179,18.7,5.5,mwb,242,78.9,,0.89,us,usp000dnsk,2022-05-02T17:55:47.089Z,"8 km NNW of Maebaru-ch??, Japan",earthquake,,,,,reviewed,us,us
2005-04-19T21:22:50.620Z,33.7,130.45,10,4.4,mb,37,105.8,,1.41,us,usp000dnsn,2014-11-07T01:25:38.392Z,"2 km SE of Shing?, Japan",earthquake,,,,14,reviewed,us,us
2005-04-19T21:44:52.140Z,33.536,130.25,10,4.3,mb,32,106.3,,1.13,us,usp000dnsp,2014-11-07T01:25:38.395Z,"5 km ESE of Maebaru-ch??, Japan",earthquake,,,,10,reviewed,us,us
2005-04-20T00:09:46.860Z,33.646,130.275,39.3,4.7,mwr,55,79.1,,1.05,us,usp000dnsw,2014-11-07T01:25:38.409Z,"11 km NE of Maebaru-ch??, Japan",earthquake,,6.7,,,reviewed,us,nied
2005-05-01T16:23:57.940Z,33.611,130.244,10,4.6,mwr,43,105.8,,0.96,us,usp000dpq1,2020-07-08T01:53:27.408Z,"6 km NE of Maebaru-ch??, Japan",earthquake,,,,,reviewed,us,nied
2005-05-25T11:31:31.050Z,33.336,132.102,54.6,4.5,mwr,38,107.9,,1.06,us,usp000drj3,2014-11-07T01:25:58.065Z,"36 km NE of Tsukumiura, Japan",earthquake,,,,,reviewed,us,nied
2005-06-29T14:18:04.780Z,34.352,129.227,14.6,4.5,mb,19,108,,1.38,us,usp000du5a,2014-11-07T01:26:18.387Z,"80 km SE of Kyosai, South Korea",earthquake,,32.9,,5,reviewed,us,us
2005-07-04T20:10:02.000Z,33.742,130.124,14.5,3.9,mwr,8,140.3,,,us,usp000duhs,2014-11-07T01:26:25.693Z,"21 km NNW of Maebaru-ch??, Japan",earthquake,,,,,reviewed,jma,nied
2005-09-04T10:06:24.810Z,33.516,131.966,61.1,4.2,mb,21,113.3,,0.7,us,usp000dyr9,2014-11-07T01:27:00.262Z,"34 km ENE of Kitsuki, Japan",earthquake,,,,4,reviewed,us,us
2005-09-12T11:18:51.180Z,33.571,130.033,35,4.4,mb,12,79.5,,1.07,us,usp000dza9,2014-11-07T01:27:03.612Z,"15 km NNE of Karatsu, Japan",earthquake,,,,1,reviewed,us,us
2005-10-14T06:03:07.740Z,42.339,132.85,484,4.1,mb,28,92.9,,0.71,us,usp000e1t5,2014-11-07T01:27:23.374Z,"47 km SSW of Vrangel’, Russia",earthquake,,6.4,,7,reviewed,us,us
2006-02-01T03:15:04.290Z,33.453,132.204,49.9,4.3,mb,40,114.9,,0.94,us,usp000e983,2014-11-07T01:28:12.838Z,"32 km W of ?zu, Japan",earthquake,,,,14,reviewed,us,us
2006-02-15T18:46:29.890Z,33.358,132.227,44.3,4,m,11,122.1,,,us,usp000ea3z,2014-11-07T01:28:18.635Z,"33 km WSW of ?zu, Japan",earthquake,,,,,reviewed,jma,jma
2006-04-21T17:24:56.380Z,33.289,132.202,68.3,3.9,mb,22,108.8,,1.04,us,usp000ef6s,2014-11-07T01:28:53.557Z,"34 km WNW of Uwajima, Japan",earthquake,,7.8,,7,reviewed,us,us
2006-05-13T10:14:31.000Z,34.045,129.137,20.3,4.3,m,5,176.9,,,us,usp000eh0k,2014-11-07T01:29:06.411Z,"84 km NNW of Hirado, Japan",earthquake,,,,,reviewed,jma,jma
