발생시각,규모,위도,경도
2016/09/13 0:00,2.3,35.75,129.17
2016/09/13 0:00,2,35.77,129.18
2016/09/13 0:00,2.2,35.75,129.19
2016/09/13 0:00,2,35.77,129.17
2016/09/13 0:00,2.2,35.76,129.18
2016/09/13 0:00,3.1,35.78,129.21
2016/09/13 0:00,2.1,35.76,129.19
2016/09/13 0:00,2.5,35.76,129.19
2016/09/13 0:00,2,35.76,129.18
2016/09/13 0:00,2,35.76,129.18
2016/09/13 0:00,2.2,35.76,129.19
2016/09/12 0:00,2.2,35.77,129.19
2016/09/12 0:00,3.1,35.75,129.18
2016/09/12 0:00,3,35.76,129.17
2016/09/12 0:00,2.1,35.77,129.19
2016/09/12 0:00,2.4,35.77,129.18
2016/09/12 0:00,2.2,35.76,129.18
2016/09/12 0:00,2,35.77,129.18
2016/09/12 0:00,2.5,35.76,129.18
2016/09/12 0:00,2.4,35.76,129.19
2016/09/12 0:00,2,35.76,129.18
2016/09/12 0:00,2.1,35.77,129.19
2016/09/12 0:00,2.1,35.77,129.19
2016/09/12 0:00,2.2,35.76,129.16
2016/09/12 0:00,2.6,35.76,129.19
2016/09/12 0:00,2.3,35.76,129.02
2016/09/12 0:00,2.8,35.78,129.18
2016/09/12 0:00,2.1,35.76,129.18
2016/09/12 0:00,2.2,35.77,129.19
2016/09/12 0:00,2,35.77,129.19
2016/09/12 0:00,2.5,35.77,129.18
2016/09/12 0:00,2.1,35.77,129.17
2016/09/12 0:00,2,35.76,129.18
2016/09/12 0:00,2.6,35.75,129.16
2016/09/12 0:00,2.9,35.76,129.19
2016/09/12 0:00,2.2,35.81,129.23
2016/09/12 0:00,2.4,35.76,129.17
2016/09/12 0:00,2.7,35.78,129.2
2016/09/12 0:00,2.3,35.76,129.17
2016/09/12 0:00,2.5,35.76,129.18
2016/09/12 0:00,2.4,35.76,129.19
2016/09/12 0:00,2.5,35.79,129.2
2016/09/12 0:00,3,35.76,129.18
2016/09/12 0:00,3,35.77,129.19
2016/09/12 0:00,3,35.78,129.2
2016/09/12 0:00,3.4,35.75,129.18
2016/09/12 0:00,3.6,35.78,129.19
2016/09/12 0:00,5.8,35.76,129.19
2016/09/12 0:00,2.5,35.77,129.2
2016/09/12 0:00,2.3,35.76,129.19
2016/09/12 0:00,3.1,35.77,129.18
2016/09/12 0:00,2.7,35.76,129.17
2016/09/12 0:00,2.7,35.76,129.18
2016/09/12 0:00,2.6,35.76,129.19
2016/09/12 0:00,2.5,35.77,129.18
2016/09/12 0:00,2.4,35.78,129.16
2016/09/12 0:00,2.4,35.76,129.18
2016/09/12 0:00,2.1,35.77,129.19
2016/09/12 0:00,2.2,35.77,129.18
2016/09/12 0:00,3.1,35.77,129.19
2016/09/12 0:00,2.2,35.76,129.19
2016/09/12 0:00,2.4,35.78,129.2
2016/09/12 0:00,5.1,35.77,129.19
2016/08/30 0:00,2.6,35.55,128.03
2016/08/28 0:00,2.1,35.65,127.48
2016/08/28 0:00,2.4,38.65,127.16
2016/08/20 0:00,2.9,33.48,127.31
2016/08/20 0:00,3,38.38,128.09
2016/08/18 0:00,2.6,38.84,125.7
2016/08/18 0:00,2.1,37.18,125.46
2016/08/17 0:00,2.9,38.35,128.09
2016/08/16 0:00,2.4,36.75,128.84
2016/07/30 0:00,2.3,33.06,126.33
2016/07/14 0:00,2.8,35.12,130.24
2016/07/13 0:00,2,36.8,128.53
2016/07/09 0:00,2.6,38.69,125.83
2016/07/09 0:00,2.3,35.48,129.97
2016/07/05 0:00,2.6,35.51,129.87
2016/07/05 0:00,5,35.51,129.99
2016/06/25 0:00,2.6,38.74,125.86
2016/06/21 0:00,3.1,39.49,126.19
2016/06/15 0:00,2.6,35.87,129.69
2016/06/13 0:00,2.7,34.3,124.68
2016/06/07 0:00,2.3,33.05,126.17
2016/06/05 0:00,2.2,36,129.58
2016/06/03 0:00,3,36.39,127.92
2016/05/24 0:00,2.3,33.61,125.56
2016/05/22 0:00,3.5,40.68,127.15
2016/05/03 0:00,2.4,37.11,129.02
2015/12/22 0:00,3.9,36.02,126.95
2015/12/11 0:00,2.1,36.9,126.58
2015/11/24 0:00,2.4,35.69,129.75
2015/11/24 0:00,3.2,35.67,129.82
2015/11/13 0:00,2.6,35.8,129.42
2015/10/30 0:00,2.9,35.74,129.37
